seq,mode,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,fscore@10cm,fscore@1cm,fscore@20cm,fscore@2cm,fscore@50cm,fscore@5cm,precision@10cm,precision@1cm,precision@20cm,precision@2cm,precision@50cm,precision@5cm,amb_n_points,amb_accuracy_median_m,n_ambiguous_measurements,mode2_selected_frac,mode_correct_frac,mode2_correct_frac,primary_correct_frac,bimodal_over_primary,oracle_within_tau_frac,selection_cost_mean_m,dist_selected_median_m,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_err_median_deg,trans_err_median,psnr,ssim,lpips,num_GS
scene,none,1005,0.01752521032996847,0.02594482706263544,0.07956908228700695,0.1039319070692321,0.0008129939361237373,0.2042623946666336,0.005508703615623607,0.4457770494676688,0.04084627305845091,0.9711442786069652,0.26169154228855723,0.9970149253731343,0.5601990049751244,0.9990049751243781,0.8875621890547264,,,,,,,,,,,,0.3275,0.6599,0.8125,0.242000013589859,0.024296430870890617,19.472517013549805,0.7600281834602356,0.3459264636039734,1393837
scene,unimodal,1002,0.019340573173431748,0.027968816855425183,0.07879871674082345,0.10321261261817415,0.0006401519243397454,0.20252353153638153,0.004767215996959394,0.44693908719527187,0.03847797829822102,0.9680638722554891,0.23253493013972057,0.9960079840319361,0.5219560878243513,0.999001996007984,0.872255489021956,341.0,0.018259315769411172,832.0,0.0625,0.7896634615384616,0.5192307692307693,0.7872596153846154,0.0024038461538461453,0.9014423076923077,0.011985467557184975,0.020521111942955514,0.311,0.6534,0.8099,0.31839463114738464,0.019490886479616165,18.93141746520996,0.7530037760734558,0.35079848766326904,1362329
scene,drop_ambiguous,983,0.019325703157772937,0.027712830135228184,0.07948650726049274,0.10510584241274316,0.0007219317189061902,0.20434599927534225,0.004738221042461211,0.4458793188161741,0.039336551385606766,0.9735503560528993,0.24923702950152593,0.9949135300101729,0.5167853509664293,0.9979654120040692,0.884028484231943,331.0,0.01669468445756524,893.0,0.0593505039193729,0.8073908174692049,0.6226415094339622,0.7928331466965286,0.014557670772676334,0.9025755879059351,0.011264976967921064,0.01828929237991481,0.3786,0.7003,0.8401,0.26915279030799866,0.015466109849512577,19.342565536499023,0.7535411715507507,0.3507640063762665,1426201
scene,bimodal,1005,0.018752397379144373,0.027179424498452315,0.07835785169861337,0.10480102823741491,0.0006825689930877821,0.20610893800776736,0.004960870002294475,0.4476079711182972,0.039565061460983805,0.9701492537313433,0.23482587064676616,0.9970149253731343,0.5323383084577115,0.9990049751243781,0.8776119402985074,343.0,0.01777326870532997,842.0,0.06769596199524941,0.7672209026128266,0.5087719298245614,0.7660332541567696,0.001187648456057011,0.8871733966745843,0.012659983416519935,0.021657788478603023,0.3467,0.6784,0.8245,0.343681663274765,0.014492387883365154,19.66390037536621,0.7618317008018494,0.343681663274765,1389879
